data,conta,categoria,subcategoria,tipo,valor,centro_custo,descricao
2024-05-01,Papaya,Receita de Serviços,BPO Financeiro,Receita,10325,Financeiro,Mensalidade
2024-10-21,Mdias,Receita de Serviços,BPO Financeiro,Receita,4691,Marketing,Mensalidade
2024-03-27,Papaya,Impostos,DAS,Despesa,5902,RH,Lançamento
2024-05-27,Mdias,Marketing,Google Ads,Despesa,10414,Comercial,Lançamento
2024-11-18,Papaya,Impostos,IRPJ,Despesa,12021,Marketing,Lançamento
2024-05-15,Papaya,Receita de Serviços,BPO RH,Despesa,4412,Operacional,Lançamento
2024-10-18,Papaya,Receita de Serviços,BPO Financeiro,Receita,15016,Operacional,Mensalidade
2024-07-27,Mdias,Marketing,Agência,Despesa,9452,Comercial,Lançamento
2024-04-25,Papaya,Pessoal,Benefícios,Despesa,8817,Marketing,Lançamento
2024-09-12,Papaya,Receita de Serviços,BPO RH,Despesa,948,RH,Lançamento
2024-09-09,Zov,Receita de Serviços,Contabilidade,Receita,8468,Financeiro,Mensalidade
2024-06-19,Mdias,Pessoal,Salários,Despesa,1015,Comercial,Lançamento
2024-06-24,Papaya,Receita de Serviços,Contabilidade,Receita,10257,Operacional,Mensalidade
2024-08-22,Papaya,Receita de Serviços,BPO Financeiro,Receita,12521,Comercial,Mensalidade
2024-11-05,Papaya,Pessoal,Encargos,Despesa,3964,Financeiro,Lançamento
2024-02-25,Mdias,Receita de Serviços,BPO Financeiro,Despesa,5308,Financeiro,Lançamento
2024-08-13,Mdias,Receita de Serviços,Contabilidade,Receita,15850,Comercial,Mensalidade
2024-11-04,Zov,Receita de Serviços,BPO RH,Despesa,6008,Financeiro,Lançamento
2024-08-06,Zov,Receita de Serviços,Certificado Digital,Receita,7069,Financeiro,Mensalidade
2024-06-13,Mdias,Receita de Serviços,Certificado Digital,Receita,16285,Marketing,Mensalidade
2024-11-05,Zov,Receita de Serviços,Contabilidade,Receita,19615,Financeiro,Mensalidade
2024-05-09,Mdias,Receita de Serviços,BPO RH,Receita,12672,RH,Mensalidade
2024-10-01,Mdias,Pessoal,Salários,Despesa,8890,Comercial,Lançamento
2024-09-15,Zov,Operacional,Infra,Despesa,4841,Comercial,Lançamento
2024-05-08,Zov,Receita de Serviços,Contabilidade,Receita,5240,Comercial,Mensalidade
2024-11-07,Papaya,Receita de Serviços,BPO RH,Receita,2163,Marketing,Mensalidade
2024-11-28,Zov,Receita de Serviços,Contabilidade,Receita,17625,RH,Mensalidade
2024-11-14,Mdias,Receita de Serviços,BPO Financeiro,Receita,14340,Financeiro,Mensalidade
2024-02-20,Zov,Receita de Serviços,BPO RH,Despesa,2998,Comercial,Lançamento
2024-03-05,Mdias,Pessoal,Salários,Despesa,1350,Comercial,Lançamento
2024-09-04,Mdias,Impostos,DAS,Despesa,8666,Operacional,Lançamento
2024-01-23,Zov,Receita de Serviços,BPO RH,Despesa,5436,Operacional,Lançamento
2024-08-03,Zov,Receita de Serviços,BPO Financeiro,Receita,15737,Operacional,Mensalidade
2024-03-12,Mdias,Receita de Serviços,BPO Financeiro,Receita,10682,Marketing,Mensalidade
